medcode	readcode	readterm	condition
96717	S621.00	open traumatic subarachnoid haemorrhage	Other neurological disorders
96751	AyuCB00	"[x]hiv disease result/haematological+immunologic abnorms,nec"	HIV/AIDS
96756	G852000	oesophageal varices with bleeding in diseases ec	Liver disease
96782	B003z00	"malignant neoplasm of lower lip, inner aspect nos"	Solid tumour or leukaemia
96783	B005.00	malignant neoplasm of commissure of lip	Solid tumour or leukaemia
96798	BBd2.12	[m]meningothelial sarcoma	Solid tumour or leukaemia
96799	G5y4z00	post cardiac operation heart failure nos	Congestive heart failure
96802	B11y100	malignant neoplasm of posterior wall of stomach nec	Solid tumour or leukaemia
96860	F11x900	cerebral degeneration in parkinson's disease	Other neurological disorders
96869	B071z00	malignant neoplasm of posterior wall of nasopharynx nos	Solid tumour or leukaemia
96883	E105500	latent schizophrenia in remission	Psychoses
96902	4J3F.00	human immunodeficiency virus viral load by log rank	HIV/AIDS
96925	1V65.00	heroin misuse	Drug abuse
9696	G604.00	subarachnoid haemorrhage from posterior communicating artery	Other neurological disorders
96979	7936K00	implantation of intravenous cardiac pacemaker system nec	Cardiac arrythmia
96993	8HkJ.00	referral to alcohol brief intervention service	Alcohol abuse
96995	9kQ..00	on full dose long term treatment depression - enh serv admin	Depression
97025	1V...00	drug misuse behaviour	Drug abuse
97030	7A1B100	endovascular stenting of suprarenal aortic aneurysm	Peripheral vascular disease
97031	1V66.00	ecstasy misuse	Drug abuse
9707	N047.00	seropositive errosive rheumatoid arthritis	Rheumatoid arthritis and collagen diseases
97087	7919z00	therapeutic transluminal operation on heart valve nos	Valvular disease
97090	C043100	hypothyroidism resulting from phenylbutazone	Hypothyroidism
97091	ByuC500	[x]2ndry malignant neoplasm/bladder+oth+unsp urinary organs	Metastatic cancer
97109	7A1B700	endovascular stenting for aorto-uniiliac aneurysm	Peripheral vascular disease
9711	H47..00	pneumonitis due to inhalation of solids or liquids	Chronic pulmonary disease
9712	BB4A.00	[m]papillary transitional cell carcinoma	Solid tumour or leukaemia
97160	Gyu5Y00	[x]other specified conduction disorders	Cardiac arrythmia
97170	Fyu2100	[x]other secondary parkinsonism	Other neurological disorders
97200	B81y400	carcinoma in situ of eustachian tube	Solid tumour or leukaemia
97217	7A1B800	endovascul insert stent infrarenal abdominal aortic aneurysm	Peripheral vascular disease
97261	8IAF.00	brief intervention for excessive alcohol consumptn declined	Alcohol abuse
97309	8CAv.00	advised to contact primary care alcohol worker	Alcohol abuse
97332	B213z00	malignant neoplasm of laryngeal cartilage nos	Solid tumour or leukaemia
97367	L43z100	obstetric pulmonary embolism nos - delivered	Pulmonary circulation disorders
97375	E246100	"glue sniffing dependence, continuous"	Drug abuse
97388	K032y15	mixed membranous and proliferative glomerulonephritis nec	Renal disease
97422	F11x.00	cerebral degeneration in other disease ec	Other neurological disorders
97446	C108912	type 1 diabetes mellitus maturity onset	Diabetes (uncomplicated)
97463	BBF4.00	[m]giant cell sarcoma (except of bone)	Solid tumour or leukaemia
9747	F25z.00	epilepsy nos	Other neurological disorders
97470	L440100	puerperal cerebrovascular disorder - delivered	Other neurological disorders
97474	C108412	unstable type 1 diabetes mellitus	Diabetes (uncomplicated)
97487	8Cc1.00	management of multiple sclerosis in early disease phase	Other neurological disorders
97488	Eu11400	[x]men & behav dis due opioid: withdrawl state with delirium	Drug abuse
97499	B118.00	siewert type ii adenocarcinoma	Solid tumour or leukaemia
97518	Q451z00	transient neonatal thrombocytopenia nos	Coagulopathy
97530	B051100	malignant neoplasm of lower buccal sulcus	Solid tumour or leukaemia
97533	Gyu2100	[x]hypertension secondary to other renal disorders	Hypertension (uncomplicated)
97547	B551200	malignant neoplasm of intrathoracic site nos	Solid tumour or leukaemia
97577	B602300	burkitt's lymphoma of intra-abdominal lymph nodes	Lymphoma
97578	1V0..00	misuses drugs	Drug abuse
97586	9k51.00	shared care drug misuse treatment - enhanced services admin	Drug abuse
97587	1Z1J.11	ckd stage 4 without proteinuria	Renal disease
9759	G718.00	leaking abdominal aortic aneurysm	Peripheral vascular disease
97593	BBZG.00	"[m]ameloblastoma, malignant"	Solid tumour or leukaemia
97606	7A47.15	other emergency bypass of superficial femoral artery	Peripheral vascular disease
97628	ByuF600	[x]melanoma in situ of other sites	Solid tumour or leukaemia
97645	7A59z00	transluminal balloon assisted coil embolisation aneurysm nos	Peripheral vascular disease
97650	7L1fz00	compensation for liver failure nos	Liver disease
97661	7A46C00	replace aneurysm fem artery by fem/fem art anastomosis nec	Peripheral vascular disease
97663	P233.12	hydrocephalus with atresia of foramina of magendie+luschka	Other neurological disorders
97672	B576z00	secondary malig neop of retroperitoneum or peritoneum nos	Metastatic cancer
97676	9k52.00	drug misuse treatment primary care - enhanced services admin	Drug abuse
97680	8IAJ.00	declined referral to specialist alcohol treatment service	Alcohol abuse
97683	1Z1L.11	ckd stage 5 without proteinuria	Renal disease
97698	1V02.00	poly-drug misuser	Drug abuse
97734	K0A1100	rapid progres nephritic syn focal+segmental glomerulr lesion	Renal disease
97735	9kZ..11	hepatitis b screening positive	Liver disease
97738	G542011	"tricuspid insufficiency, non-rheumatic"	Valvular disease
97746	B61z800	hodgkin's disease nos of lymph nodes of multiple sites	Lymphoma
97756	BBl1.00	[m]sezary's disease	Lymphoma
97758	K02y000	chronic glomerulonephritis + diseases ec	Renal disease
97780	G559.00	arrhythmogenic right ventricular cardiomyopathy	Cardiac arrythmia
97800	9kf..00	copd - enhanced services administration	Chronic pulmonary disease
97809	8I82.00	did not complete dafne diabetes structured education program	Diabetes (uncomplicated)
97821	Gyu5W00	[x]other and unspecified right bundle-branch block	Cardiac arrythmia
97824	ZRB6.11	dwbq - diabetes wellbeing questionnaire	Diabetes (uncomplicated)
97832	B58y211	secondary cancer of the cervix	Metastatic cancer
97849	C10E912	insulin dependent diabetes maturity onset	Diabetes (uncomplicated)
97852	BBk7.00	"[m]malignant lymphoma, centroblastic type, follicular"	Lymphoma
97858	B828300	melanoma in situ of scalp and neck	Solid tumour or leukaemia
97863	B615000	"hodgkin's disease, mixed cellularity of unspecified site"	Lymphoma
97875	B175.00	"malignant neoplasm, overlapping lesion of pancreas"	Solid tumour or leukaemia
97894	C10EP11	type i diabetes mellitus with exudative maculopathy	Diabetes with end-organ damage
97908	7919y00	therapeutic transluminal operation on heart valve os	Valvular disease
97919	E101400	acute exacerbation of chronic hebephrenic schizophrenia	Psychoses
97954	B81y.00	carcinoma in situ of other specified part respiratory system	Solid tumour or leukaemia
9796	1B1U.00	symptoms of depression	Depression
97978	1Z1A.11	ckd stage 2 without proteinuria	Renal disease
97979	1Z19.11	ckd stage 2 with proteinuria	Renal disease
97980	1Z17.11	ckd stage 1 with proteinuria	Renal disease
97996	B44y.00	malignant neoplasm of other site of uterine adnexa	Solid tumour or leukaemia
98009	BBrA312	[m]granulocytic sarcoma	Solid tumour or leukaemia
98071	C10E112	insulin-dependent diabetes mellitus with ophthalmic comps	Diabetes with end-organ damage
98104	B23y.00	malignant neoplasm of other specified pleura	Solid tumour or leukaemia
98142	B107.00	siewert type i adenocarcinoma	Solid tumour or leukaemia
98148	J61y800	nonalcoholic steatohepatitis	Liver disease
98173	7911600	transluminal aortic valve implantation	Valvular disease
98175	7A1BD00	endovascular insertion of stent for aorto-uniiliac aneurysm	Peripheral vascular disease
98188	G679.00	small vessel cerebrovascular disease	Other neurological disorders
98221	9No5.00	seen in substance misuse clinic	Drug abuse
98230	67H8.00	lifestyle advice regarding hypertension	Hypertension (uncomplicated)
98252	Eu32600	"[x]major depression, moderately severe"	Depression
98280	P11z.00	spina bifida without mention of hydrocephalus nos	Other neurological disorders
98283	9kf2.00	copd structured smoking assessment declined - enh serv admin	Chronic pulmonary disease
98284	9kf1.00	refer copd structured smoking assessment - enhanc serv admin	Chronic pulmonary disease
98298	P100z00	spina bifida with hydrocephalus nos	Other neurological disorders
98317	P6yyC00	fusion of mitral valve cusps	Valvular disease
98322	BBT7100	"[m]haemangioendothelioma, malignant"	Solid tumour or leukaemia
98346	Eu32500	"[x]major depression, mild"	Depression
9835	2BBL.00	o/e - diabetic maculopathy present both eyes	Diabetes with end-organ damage
98361	Byu5B00	[x]kaposi's sarcoma of other sites	Solid tumour or leukaemia
98362	9kS..00	drug misuse assessment declined - enhanced services administ	Drug abuse
98364	7B00211	allotransplantation of kidney from cadaver	Renal disease
98392	C10C.12	maturity onset diabetes in youth type 1	Diabetes (uncomplicated)
9840	K010.00	nephrotic syndrome with proliferative glomerulonephritis	Renal disease
98414	Eu32700	"[x]major depression, severe without psychotic symptoms"	Depression
98417	Eu32800	"[x]major depression, severe with psychotic symptoms"	Depression
98426	U606718	[x] adverse reaction to antiparkinsonism drugs nos	Other neurological disorders
98442	9Of5.00	epilepsy monitoring call first letter	Other neurological disorders
98483	BBZN.11	[m]odontogenic fibrosarcoma	Solid tumour or leukaemia
9849	8H7p.00	referral to community alcohol team	Alcohol abuse
98500	B002200	"malignant neoplasm of upper lip, mucosa"	Solid tumour or leukaemia
98521	8Cc4.00	management of multiple sclerosis in palliative phase	Other neurological disorders
98528	1V01.00	long-term drug misuser	Drug abuse
9853	J121.00	chronic duodenal ulcer	Peptic ulcer disease
98536	9Of6.00	epilepsy monitoring call second letter	Other neurological disorders
98537	B201100	malignant neoplasm of tympanic cavity	Solid tumour or leukaemia
98538	G542X00	"nonrheumatic tricuspid valve disorder, unspecified"	Valvular disease
98540	B808z00	carcinoma in situ of liver or biliary system nos	Solid tumour or leukaemia
98542	7A1BA00	endovascular insertion of stent for thoracic aortic aneurysm	Peripheral vascular disease
98559	BBW8.00	"[m]chondroblastoma, malignant"	Solid tumour or leukaemia
98560	Gyu5500	[x]other nonrheumatic mitral valve disorders	Valvular disease
98565	7A1Cy00	os translum ins stent graft for aneurysmal segment of aorta	Peripheral vascular disease
98566	9k53.00	pharmacy attended for drug misuse - enhanced services admin	Drug abuse
98580	7912000	allograft replacement of tricuspid valve	Valvular disease
98596	ByuD200	[x]other types of diffuse non-hodgkin's lymphoma	Lymphoma
98609	J631400	hepatitis in yellow fever	Liver disease
98616	C10F211	type ii diabetes mellitus with neurological complications	Diabetes with end-organ damage
98618	Eu18500	[x]mental & behav dis due to vol solvents: psychotic disordr	Psychoses
98626	B563100	secondary and unspec malig neop supratrochlear lymph nodes	Metastatic cancer
98639	L43zz00	obstetric pulmonary embolism nos	Pulmonary circulation disorders
98642	G633.00	multiple and bilateral precerebral arterial occlusion	Other neurological disorders
98675	G565100	right bbb with left posterior fascicular block	Cardiac arrythmia
98680	C230.00	moderate protein-calorie malnutrition (wt for age 60-74%)	Weight loss
98704	C10E512	insulin dependent diabetes mellitus with ulcer	Diabetes with end-organ damage
98709	D012111	goat's milk anaemia	Deficiency anaemia
98723	C10FD11	type ii diabetes mellitus with hypoglycaemic coma	Diabetes (uncomplicated)
98740	B000z00	"malignant neoplasm of upper lip, vermilion border nos"	Solid tumour or leukaemia
9876	H38..00	severe chronic obstructive pulmonary disease	Chronic pulmonary disease
98763	9K4..00	smr25a drug misuse initial assessment form	Drug abuse
9878	14V1.11	h/o: cardiac pacemaker	Cardiac arrythmia
98781	BB5F.00	[m]trabecular adenocarcinoma	Solid tumour or leukaemia
98783	7912100	xenograft replacement of tricuspid valve	Valvular disease
98797	BBLD.00	[m]embryonal sarcoma	Solid tumour or leukaemia
988	F251000	grand mal (major) epilepsy	Other neurological disorders
98805	AyuB000	[x]other specified acute viral hepatitis	Liver disease
9881	M271200	mixed diabetic ulcer - foot	Diabetes with end-organ damage
98811	P102.00	spina bifida with hydrocephalus - open	Other neurological disorders
98813	B500.00	"malig neop eyeball excl conjunctiva, cornea, retina, choroid"	Solid tumour or leukaemia
98825	BB5B600	[m]mixed islet cell and exocrine adenocarcinoma	Solid tumour or leukaemia
98835	8Cc0.00	management of multiple sclerosis in onset phase	Other neurological disorders
98840	B610300	hodgkin's paragranuloma of intra-abdominal lymph nodes	Lymphoma
9885	BB33.00	"[m]basal cell carcinoma, morphoea type"	Solid tumour or leukaemia
9886	F252.00	petit mal status	Other neurological disorders
9887	F25y200	locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset	Other neurological disorders
98870	F255311	partial epilepsy with autonomic symptoms	Other neurological disorders
98883	BB9D.00	[m]medullary carcinoma with lymphoid stroma	Solid tumour or leukaemia
98888	4I29.00	peritoneal dialysis sample	Renal disease
98903	9kV..11	hepatitis c screening positive	Liver disease
98909	B611100	"hodgkin's granuloma of lymph nodes of head, face and neck"	Lymphoma
98911	B200100	malignant neoplasm of nasal conchae	Solid tumour or leukaemia
98954	3883	diabetes treatment satisfaction questionnaire	Diabetes (uncomplicated)
98961	BBk2.00	"[m]malignant lymphoma, centroblastic-centrocytic, follicular"	Lymphoma
98966	66j..00	human immunodeficiency virus monitoring	HIV/AIDS
9897	9OL..00	diabetes monitoring admin.	Diabetes (uncomplicated)
99000	E107.11	cyclic schizophrenia	Psychoses
99001	B002100	"malignant neoplasm of upper lip, frenulum"	Solid tumour or leukaemia
99012	B61z500	hodgkin's disease nos of lymph nodes inguinal region and leg	Lymphoma
9902	B3...11	"carcinoma of bone, connective tissue, skin and breast"	Solid tumour or leukaemia
99040	F230.11	paraplegia - congenital	Paralysis
9906	G564.00	right bundle branch block	Cardiac arrythmia
99070	E10y100	coenesthopathic schizophrenia	Psychoses
99077	Gyu1200	[x]other tricuspid valve diseases	Valvular disease
99096	Byu2300	[x]malignant neopl/overlapping les/resp+intrathoracic organs	Solid tumour or leukaemia
9913	1O1..00	heart failure confirmed	Congestive heart failure
99139	K0B6.00	balkan nephropathy	Renal disease
